Time,N°survey,N°sighting,Date,Lat N,Long E,Species,Set,N° animal,A,J,C,Other species,Boat,S,Se,HSB,FB,Fe,T,Dist from boat,Speed boat,Our boat dist,BEARING,Direction ,Reaction ,Dolphin speed,Diving time,Movement formation,State ,Event,Category ,Note,Stratum
11:08,2,1,18.02.2016,NO GPS,NO GPS,DD,1,12,9,3,0,"Yellow leg, Shearwater",0,0,0,0,0,0,0,/,/,30,280,/,NEG,NA,/,TI,SU-F,/,F,group of juvenile,Random Pyth to Marathokampos
11:13,2,1,18.02.2016,/,/,DD,1,12,9,3,0,"Yellow leg, Shearwater",0,0,0,0,0,0,0,/,/,50,330,/,NEU,NA,/,TI,SU-F,/,F,group of juvenile,Random Pyth to Marathokampos
11:18,2,1,18.02.2016,/,/,DD,1,12,9,3,0,"Yellow leg, Shearwater",0,0,0,0,0,0,0,/,/,100,270,/,NEU,NA,NA,TI,TR,/,TR,group of juvenile,Random Pyth to Marathokampos
11:23,2,1,18.02.2016,/,/,DD,1,12,9,3,0,"Yellow leg, Shearwater",0,0,0,0,0,0,0,/,/,10,270,/,POS,NA,NA,SP,"D,TR",BU,TR,group of juvenile,Random Pyth to Marathokampos
11:28,2,1,18.02.2016,/,/,DD,1,12,9,3,0,"Yellow leg, Shearwater",0,0,0,0,0,0,0,/,/,10,270,/,POS,NA,/,SP,TR,/,TR,group of juvenile,Random Pyth to Marathokampos
13:55,2,2,18.02.2016,NO GPS,NO GPS,UND,1,3,3,0,0,/,0,0,0,0,0,0,0,/,/,20,330,/,NEG,NA,/,FR,TR,/,TR,,Random Pyth to Marathokampos
14:17,2,3,18.02.2016,NO GPS,NO GPS,DD,1,4,4,0,0,/,0,0,0,0,0,0,0,/,/,0,0,/,POS,NA,/,FR,UND,/,UND,,Random Pyth to Marathokampos
14:22,2,3,18.02.2016,/,/,DD,1,4,4,0,0,/,0,0,0,0,0,0,0,/,/,10,270,/,POS,NA,/,LI,TR,/,TR,,Random Pyth to Marathokampos
14:27,2,3,18.02.2016,/,/,DD,1,4,4,0,0,/,0,0,0,0,0,0,0,/,/,20,30,/,POS,NA,/,LI,Re,/,S,,Random Pyth to Marathokampos
6:47,6,4,03.03.2016,NO GPS,NO GPS,DD,1,8,6,2,0,/,0,0,0,0,0,0,0,/,/,500,0,/,NEU,NA,NA,SP,D,/,F,,Random to Samiopoula
6:52,6,4,03.03.2016,/,/,DD,1,8,6,2,0,/,0,0,0,0,0,0,0,/,/,50,60,/,NEG,NA,NA,SP,D,/,F,,Random to Samiopoula
6:57,6,4,03.03.2016,/,/,DD,1,8,6,2,0,/,0,0,0,0,0,0,0,/,/,400,270,/,NEU,NA,NA,FR,D,/,F,,Random to Samiopoula
7:02,6,4,03.03.2016,/,/,DD,1,8,6,2,0,/,0,0,0,0,0,0,0,/,/,30,60,/,NEU,NA,/,SP,SU-F,/,F,,Random to Samiopoula
7:07,6,4,03.03.2016,/,/,DD,1,8,6,2,0,/,0,0,0,0,0,0,0,/,/,30,270,/,NEU,NA,/,SP,SU-F,2B,F,,Random to Samiopoula
7:12,6,4,03.03.2016,/,/,DD,1,8,6,2,0,/,0,0,0,0,0,0,0,/,/,100,270,/,NEU,NA,/,SP,SU-F,/,F,,Random to Samiopoula
7:19,6,4,03.03.2016,/,/,DD,1,8,6,2,0,/,0,0,0,0,0,0,0,/,/,0,0,/,NEG,NA,/,LI,TR,/,TR,,Random to Samiopoula
